tau_confidence,tau_entropy,total_cases,accepted_cases,reviewed_cases,acceptance_rate,review_rate,total_errors,reviewed_errors,accepted_errors,error_capture_rate,accepted_accuracy,accepted_macro_f1,missed_referable,missed_referable_rate,missed_urgent,missed_urgent_rate
0.5,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.5,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.5,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.5,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.5,0.5183,549,226,323,0.4116575591985428,0.5883424408014571,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.5,0.6303,549,269,280,0.4899817850637523,0.5100182149362478,96,93,3,0.96875,0.9888475836431226,0.9512781954887217,3,0.013452914798206279,0,0.0
0.5,0.7424,549,314,235,0.5719489981785064,0.42805100182149364,96,86,10,0.8958333333333334,0.9681528662420382,0.8962717530395956,7,0.03139013452914798,2,0.0273972602739726
0.5,0.8544,549,383,166,0.697632058287796,0.302367941712204,96,67,29,0.6979166666666666,0.9242819843342036,0.7613310239051406,14,0.06278026905829596,8,0.1095890410958904
0.5,0.9664,549,440,109,0.8014571948998178,0.19854280510018216,96,50,46,0.5208333333333334,0.8954545454545455,0.7582169202434945,21,0.09417040358744394,11,0.1506849315068493
0.5,1.0785,549,489,60,0.8907103825136612,0.1092896174863388,96,32,64,0.3333333333333333,0.869120654396728,0.7338599416833229,24,0.10762331838565023,16,0.2191780821917808
0.5,1.1905,549,503,46,0.9162112932604736,0.08378870673952642,96,24,72,0.25,0.856858846918489,0.7170270642545258,25,0.11210762331838565,18,0.2465753424657534
0.5,1.3026,549,505,44,0.9198542805100182,0.08014571948998178,96,22,74,0.22916666666666666,0.8534653465346534,0.7116712685564707,25,0.11210762331838565,20,0.273972602739726
0.55,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.55,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.55,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.55,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.55,0.5183,549,226,323,0.4116575591985428,0.5883424408014571,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.55,0.6303,549,269,280,0.4899817850637523,0.5100182149362478,96,93,3,0.96875,0.9888475836431226,0.9512781954887217,3,0.013452914798206279,0,0.0
0.55,0.7424,549,314,235,0.5719489981785064,0.42805100182149364,96,86,10,0.8958333333333334,0.9681528662420382,0.8962717530395956,7,0.03139013452914798,2,0.0273972602739726
0.55,0.8544,549,378,171,0.6885245901639344,0.3114754098360656,96,69,27,0.71875,0.9285714285714286,0.7664899259933722,12,0.053811659192825115,8,0.1095890410958904
0.55,0.9664,549,422,127,0.7686703096539163,0.23132969034608378,96,56,40,0.5833333333333334,0.9052132701421801,0.7603703218160168,17,0.07623318385650224,10,0.136986301369863
0.55,1.0785,549,454,95,0.8269581056466302,0.17304189435336975,96,47,49,0.4895833333333333,0.8920704845814978,0.7512473538216909,18,0.08071748878923767,14,0.1917808219178082
0.55,1.1905,549,460,89,0.8378870673952641,0.1621129326047359,96,44,52,0.4583333333333333,0.8869565217391304,0.7441849098063539,18,0.08071748878923767,14,0.1917808219178082
0.55,1.3026,549,460,89,0.8378870673952641,0.1621129326047359,96,44,52,0.4583333333333333,0.8869565217391304,0.7441849098063539,18,0.08071748878923767,14,0.1917808219178082
0.6,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.6,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.6,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.6,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.6,0.5183,549,226,323,0.4116575591985428,0.5883424408014571,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.6,0.6303,549,269,280,0.4899817850637523,0.5100182149362478,96,93,3,0.96875,0.9888475836431226,0.9512781954887217,3,0.013452914798206279,0,0.0
0.6,0.7424,549,314,235,0.5719489981785064,0.42805100182149364,96,86,10,0.8958333333333334,0.9681528662420382,0.8962717530395956,7,0.03139013452914798,2,0.0273972602739726
0.6,0.8544,549,366,183,0.6666666666666666,0.3333333333333333,96,70,26,0.7291666666666666,0.9289617486338798,0.7585053430702998,12,0.053811659192825115,8,0.1095890410958904
0.6,0.9664,549,398,151,0.7249544626593807,0.2750455373406193,96,62,34,0.6458333333333334,0.914572864321608,0.764234460357301,14,0.06278026905829596,10,0.136986301369863
0.6,1.0785,549,418,131,0.761384335154827,0.23861566484517305,96,57,39,0.59375,0.9066985645933014,0.7657206299447677,15,0.06726457399103139,12,0.1643835616438356
0.6,1.1905,549,418,131,0.761384335154827,0.23861566484517305,96,57,39,0.59375,0.9066985645933014,0.7657206299447677,15,0.06726457399103139,12,0.1643835616438356
0.6,1.3026,549,418,131,0.761384335154827,0.23861566484517305,96,57,39,0.59375,0.9066985645933014,0.7657206299447677,15,0.06726457399103139,12,0.1643835616438356
0.65,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.65,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.65,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.65,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.65,0.5183,549,226,323,0.4116575591985428,0.5883424408014571,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.65,0.6303,549,269,280,0.4899817850637523,0.5100182149362478,96,93,3,0.96875,0.9888475836431226,0.9512781954887217,3,0.013452914798206279,0,0.0
0.65,0.7424,549,314,235,0.5719489981785064,0.42805100182149364,96,86,10,0.8958333333333334,0.9681528662420382,0.8962717530395956,7,0.03139013452914798,2,0.0273972602739726
0.65,0.8544,549,355,194,0.6466302367941712,0.3533697632058288,96,71,25,0.7395833333333334,0.9295774647887324,0.7320834573363955,12,0.053811659192825115,8,0.1095890410958904
0.65,0.9664,549,372,177,0.6775956284153005,0.3224043715846995,96,67,29,0.6979166666666666,0.9220430107526881,0.7541667841202726,14,0.06278026905829596,8,0.1095890410958904
0.65,1.0785,549,380,169,0.692167577413479,0.30783242258652094,96,65,31,0.6770833333333334,0.9184210526315789,0.7459417074361794,14,0.06278026905829596,9,0.1232876712328767
0.65,1.1905,549,380,169,0.692167577413479,0.30783242258652094,96,65,31,0.6770833333333334,0.9184210526315789,0.7459417074361794,14,0.06278026905829596,9,0.1232876712328767
0.65,1.3026,549,380,169,0.692167577413479,0.30783242258652094,96,65,31,0.6770833333333334,0.9184210526315789,0.7459417074361794,14,0.06278026905829596,9,0.1232876712328767
0.7,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.7,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.7,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.7,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.7,0.5183,549,226,323,0.4116575591985428,0.5883424408014571,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.7,0.6303,549,269,280,0.4899817850637523,0.5100182149362478,96,93,3,0.96875,0.9888475836431226,0.9512781954887217,3,0.013452914798206279,0,0.0
0.7,0.7424,549,312,237,0.5683060109289617,0.43169398907103823,96,86,10,0.8958333333333334,0.967948717948718,0.8937240940723555,7,0.03139013452914798,2,0.0273972602739726
0.7,0.8544,549,343,206,0.6247723132969034,0.37522768670309653,96,74,22,0.7708333333333334,0.9358600583090378,0.7467130823586074,11,0.04932735426008968,8,0.1095890410958904
0.7,0.9664,549,347,202,0.6320582877959927,0.3679417122040073,96,74,22,0.7708333333333334,0.9365994236311239,0.7497483127109111,11,0.04932735426008968,8,0.1095890410958904
0.7,1.0785,549,347,202,0.6320582877959927,0.3679417122040073,96,74,22,0.7708333333333334,0.9365994236311239,0.7497483127109111,11,0.04932735426008968,8,0.1095890410958904
0.7,1.1905,549,347,202,0.6320582877959927,0.3679417122040073,96,74,22,0.7708333333333334,0.9365994236311239,0.7497483127109111,11,0.04932735426008968,8,0.1095890410958904
0.7,1.3026,549,347,202,0.6320582877959927,0.3679417122040073,96,74,22,0.7708333333333334,0.9365994236311239,0.7497483127109111,11,0.04932735426008968,8,0.1095890410958904
0.75,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.75,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.75,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.75,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.75,0.5183,549,226,323,0.4116575591985428,0.5883424408014571,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.75,0.6303,549,269,280,0.4899817850637523,0.5100182149362478,96,93,3,0.96875,0.9888475836431226,0.9512781954887217,3,0.013452914798206279,0,0.0
0.75,0.7424,549,301,248,0.5482695810564663,0.4517304189435337,96,89,7,0.9270833333333334,0.9767441860465116,0.9108794488764381,5,0.02242152466367713,2,0.0273972602739726
0.75,0.8544,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.75,0.9664,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.75,1.0785,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.75,1.1905,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.75,1.3026,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.8,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.8,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.8,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.8,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.8,0.5183,549,226,323,0.4116575591985428,0.5883424408014571,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.8,0.6303,549,261,288,0.47540983606557374,0.5245901639344263,96,95,1,0.9895833333333334,0.9961685823754789,0.982174688057041,1,0.004484304932735426,0,0.0
0.8,0.7424,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.8,0.8544,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.8,0.9664,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.8,1.0785,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.8,1.1905,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.8,1.3026,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.85,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.85,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.5183,549,218,331,0.3970856102003643,0.6029143897996357,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.6303,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.7424,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.8544,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.9664,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,1.0785,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,1.1905,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,1.3026,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.9,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.4062,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.5183,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.6303,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.7424,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.8544,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.9664,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,1.0785,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,1.1905,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,1.3026,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.95,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.2942,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.4062,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.5183,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.6303,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.7424,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.8544,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.9664,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,1.0785,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,1.1905,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,1.3026,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
